"name","category","license","license_url","icon_url","title","slug","description","downloads","rating","created_at","url","json_url","download_url","status_detail","downloads_shortened","games_detail","latest_release_version","latest_release_version_formatted","latest_release_at","latest_release_at_atom","author","author_icon_url","author_id","tags_all","created_at_atom","updated_at_atom","watchers","watchers_shortened","badges"
"AdminChatroom","1",,,,"Admin Chatroom","admin-chatroom","Allows admins to chat privately with each other in-game","588","0.00","2018-07-25 02:35:00","https://umod.org/plugins/admin-chatroom","https://umod.org/plugins/admin-chatroom.json","https://umod.org/plugins/AdminChatroom.cs","@{value=1; message=; text=Published; icon=check; class=success}","588","System.Object[]","1.0.2","v1.0.2","2018-07-27 19:49:28","2018-07-27T19:49:28+00:00","austinv900","https://assets.umod.org/images/icons/user/5b5bc71c51a3f.png","b0EKY1KXv8","universal,chat,administration","2018-07-25T02:35:00Z","2019-02-12T12:59:10Z","3","3",""
"AdminLeaveJoin","1",,,"https://assets.umod.org/images/icons/plugin/5b66eef23592a.jpg","Admin Leave and Join","admin-leave-and-join","Displays a chat message when a admin leaves or joins to all the players","900","0.00","2018-08-05 12:34:58","https://umod.org/plugins/admin-leave-and-join","https://umod.org/plugins/admin-leave-and-join.json","https://umod.org/plugins/AdminLeaveJoin.cs","@{value=1; message=; text=Published; icon=check; class=success}","900","System.Object[]","0.1.9","v0.1.9","2018-08-05 12:35:31","2018-08-05T12:35:31+00:00","austinv900","https://assets.umod.org/images/icons/user/5b5bc71c51a3f.png","b0EKY1KXv8","universal,imported","2018-08-05T12:34:58Z","2019-02-12T15:57:16Z","3","3",""
"AdvertMessages","1",,,"https://assets.umod.org/images/icons/plugin/5b63834a4c259.jpg","Advert Messages","advert-messages","Timed chat messages to work as informational messages","2189","0.00","2018-08-02 22:18:50","https://umod.org/plugins/advert-messages","https://umod.org/plugins/advert-messages.json","https://umod.org/plugins/AdvertMessages.cs","@{value=1; message=; text=Published; icon=check; class=success}","2.2K","System.Object[]","3.0.1","v3.0.1","2018-08-02 22:19:20","2018-08-02T22:19:20+00:00","LaserHydra","https://assets.umod.org/images/icons/user/5b5bc6885b278.png","0D25jdKzjG","universal,advertising,informational","2018-08-02T22:18:50Z","2019-02-12T18:09:44Z","55","55",""
"AFK","1",,,"https://assets.umod.org/images/icons/plugin/5b639819d566b.jpg","AFK","afk","Kicks players that are AFK (away from keyboard) for too long","544","0.00","2018-08-02 23:47:37","https://umod.org/plugins/afk","https://umod.org/plugins/afk.json","https://umod.org/plugins/AFK.cs","@{value=1; message=; text=Published; icon=check; class=success}","544","System.Object[]","1.1.5","v1.1.5","2018-08-02 23:48:04","2018-08-02T23:48:04+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,imported","2018-08-02T23:47:37Z","2019-02-12T13:53:00Z","10","10",""
"Analytics","1","mit",,"https://assets.umod.org/images/icons/plugin/5c4d3ab11e90f.png","Analytics","analytics","Real-time collection and reporting of server events to Google Analytics","392","0.00","2018-07-25 02:35:00","https://umod.org/plugins/analytics","https://umod.org/plugins/analytics.json","https://umod.org/plugins/Analytics.cs","@{value=1; message=; text=Published; icon=check; class=success}","392","System.Object[]","1.1.2","v1.1.2","2018-07-31 01:09:28","2018-07-31T01:09:28+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,analytics,statistics","2018-07-25T02:35:00Z","2019-02-12T13:00:46Z","9","9",""
"AngryPromotion","1",,,"https://assets.umod.org/images/icons/plugin/5ba971c4870ca.png","Angry Promotion","angry-promotion","Automatically add players to a group if they have a specific word/phrase in their Steam name","317","0.00","2018-08-05 12:19:17","https://umod.org/plugins/angry-promotion","https://umod.org/plugins/angry-promotion.json","https://umod.org/plugins/AngryPromotion.cs","@{value=1; message=; text=Published; icon=check; class=success}","317","System.Object[]","1.1.1","v1.1.1","2018-08-05 12:19:45","2018-08-05T12:19:45+00:00","Tori1157","https://assets.umod.org/images/icons/user/5b3bc670cba08.jpg?uid=5b3bc71d78abd","kwmgDZy2Z3","universal,steam,groups,automation","2018-08-05T12:19:17Z","2019-02-12T13:01:01Z","3","3",""
"AngryTime","1",,,"https://assets.umod.org/images/icons/plugin/5ba971cfe86a1.png","Angry Time","angry-time","Control and check game time","411","0.00","2018-08-05 12:17:04","https://umod.org/plugins/angry-time","https://umod.org/plugins/angry-time.json","https://umod.org/plugins/AngryTime.cs","@{value=1; message=; text=Published; icon=check; class=success}","411","System.Object[]","1.3.1","v1.3.1","2018-08-05 12:17:35","2018-08-05T12:17:35+00:00","Tori1157","https://assets.umod.org/images/icons/user/5b3bc670cba08.jpg?uid=5b3bc71d78abd","kwmgDZy2Z3","universal,time,administration","2018-08-05T12:17:04Z","2019-02-12T14:03:03Z","3","3",""
"Authenticator","1",,,"https://assets.umod.org/images/icons/plugin/5b66edf4c2197.jpg","Authenticator","authenticator","Allows players to add passwords to their accounts on your server","317","0.00","2018-08-05 12:30:44","https://umod.org/plugins/authenticator","https://umod.org/plugins/authenticator.json","https://umod.org/plugins/Authenticator.cs","@{value=1; message=; text=Published; icon=check; class=success}","317","System.Object[]","2.0.0","v2.0.0","","","","","0","universal,imported","2018-08-05T12:30:44Z","2019-02-12T13:02:33Z","3","3",""
"AutoBroadcast","1","mit",,"https://assets.umod.org/images/icons/plugin/5b639644babc8.jpg","Auto Broadcast","auto-broadcast","Sends randomly configured chat messages every X amount of seconds","2149","0.00","2018-08-02 23:39:48","https://umod.org/plugins/auto-broadcast","https://umod.org/plugins/auto-broadcast.json","https://umod.org/plugins/AutoBroadcast.cs","@{value=1; message=; text=Published; icon=check; class=success}","2.1K","System.Object[]","1.0.8","v1.0.8","2018-08-02 23:40:20","2018-08-02T23:40:20+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,announcements,broadcasting","2018-08-02T23:39:48Z","2019-02-12T18:25:59Z","78","78",""
"Autokick","1",,,"https://assets.umod.org/images/icons/plugin/5b66ebaa0267c.jpg","Autokick","autokick","Helps with setting the server to ""maintenance"" mode","322","0.00","2018-08-05 12:20:58","https://umod.org/plugins/autokick","https://umod.org/plugins/autokick.json","https://umod.org/plugins/Autokick.cs","@{value=1; message=; text=Published; icon=check; class=success}","322","System.Object[]","1.2.0","v1.2.0","2018-08-05 12:21:29","2018-08-05T12:21:29+00:00","Exel80","","jryL1lAKNB","universal,management,maintenance,administration","2018-08-05T12:20:58Z","2019-02-12T13:03:13Z","4","4",""
